,x,y,z
77,74.0,34.0,47.0
78,77.0,89.0,60.0
79,53.0,65.0,37.0
80,69.0,69.0,55.0
81,62.0,38.0,69.0
82,73.0,80.0,25.0
83,33.0,75.0,63.0
84,68.0,62.0,63.0
85,76.0,65.0,48.0
86,40.0,95.0,33.0
87,47.0,61.0,83.0
88,35.0,79.0,48.0
89,68.0,45.0,28.0
90,71.0,59.0,44.0
91,57.0,35.0,58.0
92,41.0,42.0,79.0
93,63.0,77.0,89.0
94,61.0,80.0,65.0
95,51.0,56.0,62.0
96,69.0,48.0,66.0
97,53.0,94.0,53.0
98,67.0,45.0,64.0
99,84.0,34.0,41.0
100,55.0,75.0,30.0
101,53.0,52.0,67.0
102,87.0,48.0,52.0
103,64.0,48.0,85.0
104,51.0,53.0,37.0
105,53.0,46.0,34.0
106,42.0,54.0,76.0
107,67.0,56.0,71.0
108,64.0,67.0,60.0
109,38.0,40.0,61.0
110,42.0,74.0,81.0
111,78.0,83.0,76.0
112,42.0,31.0,52.0
113,69.0,74.0,37.0
114,77.0,55.0,68.0
115,65.0,59.0,57.0
116,43.0,44.0,70.0
117,68.0,72.0,47.0
118,58.0,42.0,57.0
119,66.0,67.0,73.0
120,68.0,70.0,74.0
121,51.0,70.0,50.0
122,63.0,66.0,61.0
123,84.0,55.0,89.0
124,80.0,67.0,43.0
125,46.0,48.0,64.0
126,63.0,94.0,77.0
127,41.0,57.0,72.0
128,67.0,47.0,60.0
129,47.0,71.0,90.0
130,49.0,66.0,24.0
131,45.0,56.0,59.0
132,49.0,75.0,89.0
133,75.0,78.0,73.0
134,74.0,38.0,70.0
135,48.0,49.0,70.0
136,79.0,52.0,61.0
137,82.0,56.0,62.0
138,90.0,23.0,31.0
139,50.0,45.0,48.0
140,65.0,70.0,54.0
141,61.0,37.0,84.0
142,74.0,64.0,85.0
143,63.0,61.0,77.0
144,75.0,48.0,51.0
145,75.0,73.0,83.0
146,39.0,73.0,67.0
147,71.0,88.0,57.0
148,87.0,88.0,77.0
149,73.0,42.0,39.0
150,20.0,71.0,65.0
151,47.0,60.0,63.0
152,80.0,14.0,47.0
153,16.0,11.0,74.0
154,67.0,27.0,38.0
155,71.0,13.0,70.0
156,61.0,70.0,76.0
157,54.0,81.0,60.0
158,40.0,70.0,53.0
159,73.0,81.0,87.0
160,73.0,81.0,51.0
161,54.0,24.0,31.0
162,60.0,47.0,48.0
163,72.0,57.0,57.0
164,38.0,44.0,46.0
165,75.0,66.0,70.0
166,50.0,38.0,36.0
167,92.0,65.0,71.0
168,65.0,49.0,47.0
169,54.0,71.0,65.0
170,73.0,41.0,74.0
171,62.0,72.0,41.0
172,56.0,60.0,89.0
173,68.0,95.0,77.0
174,76.0,42.0,88.0
175,27.0,39.0,77.0
176,51.0,69.0,74.0
177,79.0,79.0,60.0
178,71.0,70.0,71.0
179,63.0,69.0,46.0
180,71.0,95.0,87.0
181,53.0,12.0,70.0
182,45.0,83.0,66.0
183,75.0,46.0,38.0
184,39.0,52.0,61.0
185,39.0,67.0,63.0
186,62.0,87.0,54.0
187,67.0,56.0,80.0
188,74.0,43.0,66.0
189,77.0,61.0,71.0
190,80.0,66.0,58.0
191,58.0,67.0,51.0
192,48.0,59.0,87.0
193,70.0,79.0,83.0
194,44.0,76.0,65.0
195,60.0,49.0,56.0
196,62.0,57.0,46.0
197,35.0,38.0,60.0
198,46.0,58.0,80.0
199,73.0,68.0,64.0
200,71.0,61.0,71.0
201,64.0,97.0,56.0
202,26.0,89.0,85.0
203,79.0,68.0,58.0
204,60.0,62.0,62.0
205,67.0,53.0,65.0
206,58.0,62.0,60.0
207,39.0,63.0,37.0
208,40.0,71.0,41.0
209,55.0,78.0,96.0
210,50.0,91.0,67.0
211,78.0,64.0,63.0
212,54.0,67.0,71.0
213,83.0,66.0,37.0
214,45.0,53.0,67.0
215,48.0,56.0,56.0
216,49.0,48.0,49.0
217,69.0,36.0,43.0
218,56.0,23.0,71.0
219,68.0,72.0,76.0
220,63.0,54.0,73.0
221,76.0,15.0,52.0
222,23.0,76.0,49.0
223,41.0,62.0,82.0
224,71.0,62.0,54.0
225,85.0,39.0,55.0
226,54.0,26.0,66.0
227,67.0,58.0,35.0
228,81.0,22.0,24.0
229,63.0,65.0,51.0
230,77.0,72.0,70.0
231,60.0,25.0,81.0
232,67.0,63.0,49.0
233,60.0,67.0,82.0
234,39.0,78.0,77.0
235,48.0,76.0,64.0
236,37.0,54.0,29.0
237,48.0,44.0,80.0
238,54.0,61.0,66.0
239,48.0,48.0,48.0
240,52.0,88.0,55.0
241,43.0,68.0,67.0
242,41.0,80.0,68.0
243,40.0,38.0,95.0
244,50.0,36.0,70.0
245,64.0,61.0,43.0
246,41.0,74.0,78.0
247,50.0,73.0,64.0
248,53.0,92.0,67.0
249,45.0,36.0,68.0
250,76.0,59.0,58.0
251,89.0,8.0,32.0
252,93.0,52.0,68.0
253,54.0,85.0,78.0
254,73.0,47.0,73.0
255,45.0,63.0,63.0
256,73.0,54.0,54.0
257,58.0,94.0,66.0
258,30.0,67.0,33.0
259,60.0,59.0,62.0
260,59.0,77.0,71.0
261,17.0,65.0,82.0
262,55.0,61.0,77.0
263,62.0,78.0,72.0
264,58.0,90.0,49.0
265,42.0,64.0,68.0
266,91.0,73.0,75.0
267,84.0,26.0,46.0
268,50.0,67.0,73.0
269,78.0,79.0,76.0
270,49.0,62.0,50.0
271,78.0,52.0,57.0
272,74.0,74.0,82.0
273,52.0,47.0,71.0
274,65.0,62.0,68.0
275,68.0,90.0,68.0
276,58.0,70.0,46.0
277,30.0,50.0,79.0
278,51.0,36.0,66.0
279,38.0,70.0,80.0
280,51.0,48.0,28.0
281,63.0,70.0,28.0
282,52.0,61.0,76.0
283,60.0,52.0,32.0
284,47.0,67.0,74.0
285,49.0,82.0,34.0
286,77.0,38.0,77.0
287,62.0,72.0,76.0
288,48.0,58.0,75.0
289,40.0,74.0,76.0
290,75.0,79.0,74.0
291,71.0,10.0,34.0
292,69.0,95.0,64.0
293,27.0,75.0,34.0
294,67.0,74.0,78.0
295,53.0,95.0,46.0
296,55.0,57.0,67.0
297,68.0,59.0,39.0
298,91.0,83.0,59.0
299,41.0,32.0,54.0
300,48.0,35.0,53.0
301,88.0,63.0,41.0
302,62.0,59.0,41.0
303,65.0,64.0,64.0
304,76.0,61.0,30.0
305,76.0,55.0,76.0
306,62.0,77.0,68.0
307,84.0,72.0,60.0
308,56.0,88.0,74.0
309,68.0,62.0,76.0
310,75.0,71.0,68.0
311,47.0,86.0,73.0
312,71.0,93.0,67.0
313,66.0,68.0,72.0
314,63.0,78.0,31.0
315,35.0,54.0,66.0
316,47.0,60.0,67.0
317,83.0,92.0,53.0
318,31.0,50.0,59.0
319,27.0,10.0,65.0
320,54.0,64.0,71.0
321,38.0,48.0,49.0
322,45.0,93.0,58.0
323,56.0,44.0,72.0
324,61.0,18.0,64.0
325,75.0,49.0,64.0
326,77.0,21.0,78.0
327,65.0,75.0,82.0
328,81.0,51.0,62.0
329,65.0,58.0,35.0
330,74.0,48.0,58.0
331,51.0,92.0,38.0
332,72.0,95.0,83.0
333,65.0,83.0,75.0
334,72.0,82.0,46.0
335,55.0,37.0,65.0
336,57.0,60.0,79.0
337,42.0,83.0,70.0
338,41.0,64.0,59.0
339,62.0,58.0,67.0
340,46.0,22.0,91.0
341,57.0,37.0,66.0
342,64.0,69.0,69.0
343,77.0,89.0,84.0
344,69.0,68.0,68.0
345,63.0,78.0,59.0
346,44.0,80.0,54.0
347,74.0,94.0,88.0
348,76.0,73.0,69.0
349,83.0,73.0,43.0
350,69.0,37.0,57.0
351,82.0,70.0,23.0
352,52.0,92.0,65.0
353,52.0,82.0,64.0
354,64.0,60.0,68.0
355,51.0,54.0,79.0
356,56.0,50.0,75.0
357,86.0,31.0,61.0
358,36.0,51.0,57.0
359,54.0,81.0,74.0
360,58.0,71.0,91.0
361,72.0,40.0,69.0
362,41.0,14.0,86.0
363,71.0,56.0,74.0
364,79.0,71.0,72.0
365,53.0,64.0,68.0
366,28.0,18.0,57.0
367,26.0,14.0,43.0
368,43.0,57.0,54.0
369,65.0,76.0,50.0
370,52.0,54.0,63.0
371,40.0,60.0,61.0
372,55.0,86.0,74.0
373,44.0,82.0,66.0
374,50.0,52.0,80.0
375,74.0,53.0,76.0
376,80.0,82.0,64.0
377,35.0,68.0,58.0
378,76.0,70.0,50.0
379,57.0,22.0,85.0
380,54.0,71.0,51.0
381,60.0,59.0,73.0
382,45.0,41.0,77.0
383,53.0,88.0,53.0
384,58.0,20.0,70.0
385,60.0,42.0,65.0
386,45.0,73.0,61.0
387,83.0,60.0,75.0
388,63.0,47.0,46.0
389,55.0,66.0,63.0
390,62.0,79.0,71.0
391,58.0,65.0,85.0
392,54.0,87.0,75.0
393,41.0,92.0,88.0
394,63.0,25.0,89.0
395,45.0,90.0,55.0
396,32.0,67.0,71.0
397,68.0,54.0,64.0
398,50.0,44.0,55.0
399,71.0,98.0,62.0
400,70.0,46.0,82.0
401,49.0,45.0,85.0
402,58.0,49.0,85.0
403,49.0,66.0,63.0
404,71.0,59.0,12.0
405,53.0,43.0,51.0
406,57.0,63.0,73.0
407,18.0,61.0,79.0
408,34.0,87.0,30.0
409,82.0,39.0,68.0
410,76.0,86.0,80.0
411,45.0,83.0,72.0
412,95.0,43.0,45.0
413,84.0,97.0,76.0
414,80.0,72.0,73.0
415,63.0,70.0,78.0
416,69.0,49.0,57.0
417,62.0,75.0,73.0
418,25.0,16.0,62.0
419,57.0,61.0,60.0
420,32.0,21.0,50.0
421,59.0,70.0,84.0
422,83.0,89.0,52.0
423,60.0,69.0,68.0
424,67.0,80.0,47.0
425,43.0,64.0,94.0
426,79.0,74.0,38.0
427,89.0,79.0,82.0
428,51.0,60.0,53.0
429,67.0,55.0,58.0
430,32.0,55.0,86.0
431,60.0,65.0,69.0
432,43.0,57.0,72.0
433,59.0,56.0,70.0
434,65.0,42.0,71.0
435,69.0,65.0,65.0
436,76.0,96.0,47.0
437,82.0,82.0,67.0
438,44.0,73.0,59.0
439,59.0,42.0,35.0
440,53.0,32.0,56.0
441,72.0,28.0,63.0
442,71.0,31.0,66.0
443,88.0,94.0,57.0
444,54.0,67.0,76.0
445,49.0,58.0,69.0
446,64.0,79.0,52.0
447,61.0,58.0,71.0
448,66.0,71.0,63.0
449,75.0,29.0,67.0
450,51.0,81.0,67.0
451,85.0,52.0,93.0
452,28.0,61.0,75.0
453,68.0,57.0,79.0
454,36.0,64.0,68.0
455,79.0,35.0,64.0
456,45.0,36.0,88.0
457,59.0,68.0,67.0
458,57.0,86.0,68.0
459,52.0,74.0,62.0
460,77.0,60.0,26.0
461,79.0,47.0,53.0
462,60.0,87.0,71.0
463,79.0,80.0,79.0
464,48.0,79.0,62.0
465,70.0,79.0,53.0
466,55.0,42.0,59.0
467,52.0,76.0,61.0
468,72.0,32.0,75.0
469,64.0,54.0,68.0
470,61.0,52.0,36.0
471,64.0,67.0,88.0
472,20.0,53.0,77.0
473,18.0,51.0,77.0
474,17.0,70.0,70.0
475,28.0,41.0,54.0
476,58.0,71.0,66.0
477,50.0,65.0,70.0
478,52.0,64.0,59.0
479,76.0,65.0,60.0
480,44.0,66.0,48.0
481,79.0,58.0,78.0
482,26.0,31.0,60.0
483,81.0,65.0,87.0
484,66.0,40.0,58.0
485,55.0,90.0,79.0
486,53.0,52.0,50.0
487,53.0,70.0,66.0
488,69.0,75.0,77.0
489,77.0,38.0,80.0
490,53.0,62.0,92.0
491,71.0,82.0,74.0
492,58.0,57.0,47.0
493,38.0,23.0,64.0
494,47.0,72.0,53.0
495,31.0,61.0,56.0
496,49.0,76.0,77.0
497,64.0,34.0,38.0
498,41.0,67.0,69.0
499,31.0,29.0,74.0
500,65.0,32.0,69.0
501,73.0,66.0,72.0
502,41.0,54.0,74.0
503,76.0,66.0,83.0
504,75.0,51.0,73.0
505,79.0,65.0,83.0
506,55.0,51.0,62.0
507,72.0,94.0,81.0
508,73.0,68.0,75.0
509,50.0,49.0,66.0
510,47.0,86.0,62.0
511,65.0,57.0,79.0
512,49.0,67.0,58.0
513,83.0,53.0,84.0
514,65.0,45.0,82.0
515,41.0,29.0,43.0
516,68.0,58.0,54.0
517,46.0,69.0,76.0
518,52.0,62.0,84.0
519,38.0,56.0,69.0
520,78.0,55.0,64.0
521,60.0,77.0,71.0
522,79.0,94.0,71.0
523,53.0,66.0,52.0
524,71.0,72.0,63.0
525,38.0,51.0,76.0
526,26.0,78.0,36.0
527,64.0,53.0,35.0
528,35.0,71.0,61.0
529,58.0,88.0,67.0
530,73.0,76.0,63.0
531,69.0,61.0,52.0
532,90.0,62.0,72.0
533,52.0,63.0,40.0
534,51.0,60.0,71.0
535,37.0,35.0,80.0
536,69.0,24.0,56.0
537,57.0,12.0,68.0
538,16.0,44.0,67.0
539,72.0,74.0,78.0
540,77.0,73.0,89.0
541,74.0,84.0,54.0
542,35.0,28.0,53.0
543,65.0,44.0,68.0
544,60.0,51.0,71.0
545,71.0,56.0,40.0
546,52.0,85.0,70.0
547,56.0,55.0,74.0
548,40.0,83.0,61.0
549,66.0,46.0,71.0
550,68.0,38.0,51.0
551,41.0,14.0,50.0
552,69.0,45.0,42.0
553,28.0,35.0,32.0
554,44.0,43.0,50.0
555,70.0,66.0,64.0
556,68.0,40.0,59.0
557,74.0,39.0,47.0
558,55.0,37.0,70.0
559,63.0,65.0,57.0
560,39.0,36.0,87.0
561,41.0,68.0,75.0
562,81.0,70.0,25.0
563,62.0,38.0,65.0
564,74.0,72.0,74.0
565,79.0,60.0,56.0
566,51.0,49.0,47.0
567,58.0,73.0,63.0
568,65.0,33.0,84.0
569,50.0,58.0,59.0
570,45.0,85.0,75.0
571,66.0,59.0,26.0
572,48.0,42.0,45.0
573,72.0,71.0,74.0
574,68.0,44.0,68.0
575,46.0,42.0,28.0
576,30.0,79.0,62.0
577,71.0,81.0,65.0
578,36.0,85.0,68.0
579,51.0,65.0,51.0
580,56.0,70.0,33.0
581,79.0,95.0,66.0
582,69.0,86.0,66.0
583,31.0,67.0,41.0
584,54.0,70.0,71.0
585,18.0,72.0,68.0
586,21.0,50.0,69.0
587,60.0,54.0,70.0
588,33.0,65.0,57.0
589,36.0,10.0,69.0
590,62.0,75.0,73.0
591,33.0,83.0,65.0
592,40.0,61.0,59.0
593,71.0,49.0,62.0
594,30.0,50.0,63.0
595,52.0,40.0,78.0
596,65.0,84.0,68.0
597,58.0,35.0,60.0
598,62.0,73.0,68.0
599,70.0,9.0,47.0
600,47.0,97.0,33.0
601,46.0,87.0,52.0
602,85.0,87.0,29.0
603,78.0,39.0,69.0
604,46.0,49.0,51.0
605,82.0,54.0,77.0
606,53.0,54.0,81.0
607,25.0,36.0,64.0
608,55.0,65.0,65.0
609,71.0,21.0,78.0
610,48.0,25.0,69.0
611,65.0,24.0,75.0
612,50.0,58.0,75.0
613,61.0,92.0,65.0
614,75.0,33.0,60.0
615,84.0,70.0,57.0
616,57.0,27.0,32.0
617,73.0,14.0,78.0
618,60.0,96.0,66.0
619,51.0,79.0,66.0
620,45.0,60.0,39.0
621,57.0,88.0,56.0
622,63.0,96.0,36.0
623,72.0,45.0,77.0
624,65.0,74.0,79.0
625,87.0,92.0,78.0
626,53.0,50.0,64.0
627,40.0,62.0,44.0
628,70.0,59.0,82.0
629,32.0,73.0,72.0
630,72.0,76.0,51.0
631,82.0,43.0,92.0
632,20.0,94.0,68.0
633,39.0,43.0,28.0
634,36.0,22.0,66.0
635,59.0,44.0,77.0
636,38.0,59.0,55.0
637,50.0,90.0,62.0
638,74.0,53.0,88.0
639,78.0,45.0,45.0
640,71.0,93.0,70.0
641,54.0,86.0,57.0
642,52.0,61.0,22.0
643,59.0,86.0,84.0
644,32.0,76.0,57.0
645,48.0,52.0,74.0
646,70.0,90.0,62.0
647,80.0,69.0,60.0
648,75.0,86.0,57.0
649,65.0,28.0,72.0
650,60.0,93.0,69.0
651,74.0,51.0,65.0
652,78.0,73.0,58.0
653,72.0,97.0,66.0
654,59.0,82.0,39.0
655,54.0,79.0,40.0
656,66.0,70.0,52.0
657,42.0,30.0,36.0
658,28.0,55.0,76.0
659,85.0,86.0,53.0
660,91.0,52.0,59.0
661,50.0,71.0,59.0
662,73.0,46.0,60.0
663,53.0,59.0,55.0
664,50.0,31.0,34.0
665,86.0,39.0,46.0
666,76.0,55.0,80.0
667,41.0,85.0,69.0
668,86.0,38.0,63.0
669,57.0,84.0,71.0
670,81.0,68.0,68.0
671,56.0,77.0,61.0
672,70.0,82.0,43.0
673,44.0,72.0,69.0
674,67.0,77.0,43.0
675,41.0,36.0,28.0
676,51.0,8.0,63.0
677,79.0,54.0,61.0
678,72.0,60.0,76.0
679,49.0,57.0,63.0
680,56.0,74.0,72.0
681,42.0,42.0,58.0
682,77.0,65.0,45.0
683,51.0,76.0,82.0
684,65.0,75.0,71.0
685,50.0,65.0,82.0
686,83.0,96.0,72.0
687,70.0,76.0,42.0
688,44.0,80.0,39.0
689,66.0,86.0,69.0
690,45.0,44.0,45.0
691,35.0,95.0,63.0
692,91.0,61.0,68.0
693,65.0,43.0,86.0
694,29.0,91.0,67.0
695,49.0,26.0,75.0
696,65.0,74.0,61.0
697,64.0,81.0,51.0
698,58.0,11.0,42.0
699,89.0,49.0,53.0
700,92.0,78.0,55.0
701,94.0,17.0,86.0
702,38.0,46.0,82.0
703,77.0,61.0,53.0
704,61.0,93.0,78.0
705,19.0,93.0,76.0
706,77.0,16.0,54.0
707,41.0,65.0,60.0
708,40.0,30.0,78.0
709,51.0,73.0,58.0
710,59.0,75.0,71.0
711,72.0,28.0,76.0
712,56.0,68.0,47.0
713,33.0,32.0,64.0
714,72.0,53.0,76.0
715,49.0,55.0,47.0
716,45.0,72.0,64.0
717,76.0,63.0,56.0
718,89.0,53.0,77.0
719,44.0,82.0,72.0
720,64.0,37.0,66.0
721,63.0,25.0,21.0
722,67.0,50.0,61.0
723,64.0,41.0,50.0
724,59.0,42.0,39.0
725,74.0,85.0,59.0
726,56.0,84.0,75.0
727,47.0,26.0,80.0
728,68.0,55.0,80.0
729,54.0,53.0,74.0
730,66.0,55.0,54.0
731,36.0,56.0,82.0
732,80.0,64.0,75.0
733,79.0,79.0,79.0
734,55.0,51.0,59.0
735,75.0,66.0,58.0
736,65.0,43.0,34.0
737,48.0,76.0,68.0
738,78.0,93.0,87.0
739,87.0,44.0,68.0
740,72.0,70.0,23.0
741,78.0,97.0,65.0
742,87.0,81.0,80.0
743,61.0,49.0,42.0
744,60.0,55.0,39.0
745,59.0,62.0,64.0
746,14.0,75.0,54.0
747,48.0,73.0,61.0
748,69.0,90.0,50.0
749,34.0,89.0,65.0
750,43.0,17.0,83.0
751,63.0,43.0,76.0
752,39.0,66.0,29.0
753,54.0,72.0,75.0
754,64.0,18.0,48.0
755,88.0,66.0,75.0
756,71.0,55.0,69.0
757,79.0,65.0,52.0
758,69.0,35.0,61.0
759,53.0,63.0,64.0
760,52.0,63.0,39.0
761,56.0,41.0,74.0
762,64.0,91.0,55.0
763,64.0,97.0,50.0
764,30.0,59.0,44.0
765,51.0,35.0,66.0
766,80.0,63.0,55.0
767,75.0,78.0,93.0
768,58.0,91.0,59.0
769,43.0,40.0,42.0
770,55.0,66.0,70.0
771,66.0,14.0,66.0
772,64.0,75.0,67.0
773,36.0,67.0,80.0
774,81.0,53.0,66.0
775,87.0,52.0,70.0
776,29.0,56.0,45.0
777,70.0,59.0,60.0
778,68.0,60.0,20.0
779,39.0,55.0,76.0
780,62.0,30.0,44.0
781,74.0,65.0,60.0
782,60.0,90.0,59.0
783,54.0,92.0,66.0
784,64.0,85.0,86.0
785,57.0,66.0,80.0
786,46.0,54.0,68.0
787,92.0,94.0,54.0
788,45.0,79.0,63.0
789,26.0,65.0,42.0
790,76.0,33.0,69.0
791,62.0,77.0,31.0
792,64.0,77.0,68.0
793,27.0,50.0,81.0
794,46.0,21.0,50.0
795,92.0,51.0,62.0
796,43.0,67.0,96.0
797,16.0,68.0,24.0
798,66.0,76.0,75.0
799,60.0,69.0,74.0
800,65.0,59.0,48.0
801,39.0,66.0,79.0
802,68.0,54.0,28.0
803,71.0,55.0,52.0
804,49.0,56.0,64.0
805,55.0,89.0,72.0
806,59.0,78.0,68.0
807,79.0,63.0,51.0
808,22.0,69.0,79.0
809,35.0,75.0,78.0
810,63.0,36.0,81.0
811,60.0,54.0,67.0
812,62.0,72.0,41.0
813,61.0,24.0,89.0
814,66.0,96.0,70.0
815,75.0,54.0,68.0
816,83.0,16.0,30.0
817,32.0,24.0,80.0
818,53.0,77.0,76.0
819,92.0,71.0,77.0
820,63.0,73.0,72.0
821,67.0,65.0,92.0
822,61.0,84.0,75.0
823,52.0,94.0,81.0
824,43.0,56.0,69.0
825,65.0,50.0,76.0
826,79.0,68.0,58.0
827,74.0,82.0,93.0
828,75.0,52.0,55.0
829,74.0,70.0,83.0
830,64.0,45.0,79.0
831,46.0,60.0,50.0
832,48.0,81.0,72.0
833,28.0,67.0,37.0
834,66.0,75.0,79.0
835,65.0,44.0,45.0
836,61.0,95.0,59.0
837,64.0,68.0,92.0
838,38.0,38.0,32.0
839,59.0,71.0,58.0
840,79.0,87.0,62.0
841,68.0,64.0,15.0
842,42.0,86.0,75.0
843,77.0,36.0,82.0
844,46.0,69.0,40.0
845,63.0,69.0,45.0
846,61.0,57.0,50.0
847,57.0,63.0,80.0
848,68.0,66.0,63.0
849,44.0,40.0,79.0
850,22.0,70.0,68.0
851,87.0,52.0,69.0
852,65.0,22.0,37.0
853,78.0,87.0,80.0
854,52.0,74.0,33.0
855,59.0,47.0,39.0
856,71.0,60.0,56.0
857,55.0,40.0,78.0
858,84.0,13.0,60.0
859,50.0,58.0,41.0
860,76.0,21.0,23.0
861,53.0,45.0,50.0
862,42.0,84.0,79.0
863,50.0,50.0,60.0
864,62.0,88.0,56.0
865,70.0,17.0,65.0
866,74.0,56.0,52.0
867,72.0,94.0,59.0
868,48.0,70.0,74.0
869,73.0,87.0,63.0
870,35.0,53.0,71.0
871,39.0,55.0,76.0
872,67.0,55.0,36.0
873,73.0,58.0,42.0
874,71.0,84.0,53.0
875,55.0,83.0,94.0
876,45.0,75.0,56.0
877,65.0,43.0,37.0
878,76.0,35.0,53.0
879,82.0,71.0,66.0
880,59.0,34.0,60.0
881,59.0,36.0,63.0
882,70.0,63.0,81.0
883,62.0,52.0,62.0
884,64.0,59.0,32.0
885,49.0,39.0,69.0
886,54.0,87.0,32.0
887,58.0,52.0,54.0
888,65.0,8.0,58.0
889,74.0,52.0,94.0
890,73.0,56.0,93.0
891,75.0,78.0,71.0
892,46.0,70.0,74.0
893,28.0,88.0,49.0
894,49.0,71.0,78.0
895,56.0,70.0,82.0
896,69.0,87.0,87.0
897,68.0,47.0,58.0
898,47.0,16.0,61.0
899,76.0,81.0,60.0
900,54.0,71.0,41.0
901,26.0,51.0,31.0
902,62.0,53.0,69.0
903,78.0,87.0,55.0
904,60.0,72.0,54.0
905,50.0,97.0,53.0
906,73.0,26.0,61.0
907,49.0,62.0,58.0
908,38.0,62.0,59.0
909,67.0,44.0,38.0
910,53.0,65.0,67.0
911,58.0,21.0,62.0
912,59.0,60.0,30.0
913,28.0,47.0,28.0
914,51.0,58.0,67.0
915,54.0,36.0,50.0
916,47.0,62.0,69.0
917,87.0,53.0,59.0
918,31.0,27.0,78.0
919,29.0,46.0,34.0
920,70.0,38.0,58.0
921,66.0,63.0,62.0
922,74.0,20.0,30.0
923,46.0,55.0,66.0
924,83.0,88.0,76.0
925,62.0,92.0,73.0
926,46.0,72.0,61.0
927,64.0,38.0,66.0
928,42.0,65.0,65.0
929,46.0,54.0,60.0
930,55.0,8.0,68.0
931,69.0,65.0,84.0
932,53.0,67.0,69.0
933,65.0,54.0,64.0
934,68.0,32.0,51.0
935,44.0,56.0,77.0
936,68.0,47.0,73.0
937,74.0,56.0,84.0
938,66.0,21.0,67.0
939,80.0,96.0,67.0
940,86.0,84.0,56.0
941,69.0,36.0,56.0
942,47.0,59.0,49.0
943,71.0,47.0,57.0
944,82.0,54.0,68.0
945,52.0,64.0,52.0
946,80.0,35.0,58.0
947,20.0,75.0,40.0
948,61.0,28.0,63.0
949,68.0,84.0,82.0
950,52.0,54.0,77.0
951,78.0,54.0,76.0
952,76.0,58.0,63.0
953,60.0,47.0,51.0
954,47.0,44.0,61.0
955,29.0,64.0,62.0
956,83.0,88.0,72.0
957,60.0,8.0,72.0
958,28.0,74.0,49.0
959,73.0,57.0,66.0
960,52.0,60.0,58.0
961,48.0,45.0,66.0
